language,perturbation,f1,em,chrf,bleu,num_scores
italian,alteration,0.3936681971660737,0.11940910956093558,45.978813329562676,31.31001887168966,2437
italian,expansion_impact,0.44665715738367895,0.14226190476190476,50.352822674229834,35.45598351741082,1680
italian,omission,0.4348323624671174,0.13968775677896467,49.94578105639605,35.03180791651269,2434
french,alteration,0.4012371541339982,0.11627435064935066,46.60519291690517,31.951249686360335,2464
french,expansion_impact,0.44823335600761177,0.12879094217549536,51.67647204199277,35.552540262292304,2473
french,omission,0.43207641239694583,0.1322381930184805,49.9169058917059,34.84064516364398,2435
spanish,alteration,0.39159344041973815,0.12036659877800407,45.52287455873842,31.5356562821789,2455
spanish,expansion_impact,0.4368274196535141,0.13391410048622365,50.377287936420316,35.34354548609705,2468
spanish,omission,0.4776695791719687,0.1474541751527495,54.31826867864573,38.447735874111345,2455
